DIA;MES;ANO;DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
28;10;2023;AUS;BOG;48;532;2245779
28;10;2023;AUS;BOG;24;80;341620
28;10;2023;AUS;BOG;216308;52742;222879777
28;10;2023;AUS;BOG;28500;5890;24866098
28;10;2023;AUS;BOG;45000;8855;36791994
28;10;2023;AUS;BOG;1620;821;3490115
28;10;2023;AUS;BOG;5670;1796;7635903
28;10;2023;AUS;BOG;92;1325;5581562
28;10;2023;AUS;BOG;20775;4729;20014696
28;10;2023;AUS;BOG;107;697;3038502
28;10;2023;AUS;BOG;7750;1472;6261003
28;10;2023;AUS;BOG;450;292;1028948
28;10;2023;AUS;BOG;100;363987;1525817517
28;10;2023;AUS;BOG;744;18678;79361420
28;10;2023;AUT;BOG;10480;2102;9014678
28;10;2023;AUT;BOG;34560;5875;24963725
28;10;2023;AUT;BOG;19152;3701;15736815
28;10;2023;AUT;BOG;72240;10598;45031752
28;10;2023;AUT;BOG;520;99;421501
28;10;2023;AUT;BOG;22890;4132;17558568
28;10;2023;AUT;BOG;28960;4614;19610114
28;10;2023;AUT;BOG;97860;15101;64154491
28;10;2023;AUT;BOG;240;48;203952
28;10;2023;AUT;BOG;16270;2975;10639925
28;10;2023;AUT;BOG;175;3463;14715349
28;10;2023;AZE;BOG;9140;5971;25310195
28;10;2023;AZE;BOG;64;154;673791
28;10;2023;AZE;BOG;11050;1816;7667967
28;10;2023;AZE;BOG;4;4550;19331760
28;10;2023;BHS;BOG;1;1000;4187010
28;10;2023;BHS;BOG;8;1036;5250942
28;10;2023;BHS;BOG;104;9270;39394259
28;10;2023;BHS;BOG;927;10979;46656249
28;10;2023;BHS;BOG;8;265;1108103
28;10;2023;BHS;BOG;5;458;1944242
28;10;2023;BHS;BOG;1911;35462;150710788
28;10;2023;BHS;BOG;96;3252;13822097
28;10;2023;BHS;BOG;14;10901;54684726
28;10;2023;BHR;BOG;300;96;405829
28;10;2023;BHR;BOG;500;337;1401461
28;10;2023;BHR;BOG;220;83;351719
28;10;2023;BHR;BOG;3;52;219824
28;10;2023;BHR;BOG;3610;2210;9311310
28;10;2023;BHR;BOG;3455;2051;8625855
28;10;2023;BHR;BOG;240;67;284388
28;10;2023;BHR;BOG;1010;215;941377
28;10;2023;BHR;BOG;5;17;73340
28;10;2023;BHR;BOG;10;35;146974
28;10;2023;BHR;BOG;6;10;52410
28;10;2023;BHR;BOG;10;64;271000
28;10;2023;BHR;BOG;174;458;1927219
28;10;2023;BHR;BOG;15;76;322256
28;10;2023;BHR;BOG;9;43;182738
28;10;2023;BHR;BOG;18000;4410;18751717
28;10;2023;BHR;BOG;18700;2949;11954538
28;10;2023;BHR;BOG;11850;1422;5764447
28;10;2023;BHR;BOG;54;54;227552
28;10;2023;BHR;BOG;3400;1022;4302306
28;10;2023;BHR;BOG;10625;2656;11013067
28;10;2023;BHR;BOG;101025;16090;66993837
28;10;2023;BHR;BOG;750;90;376831
28;10;2023;BHR;BOG;2600;520;2177245
28;10;2023;BHR;BOG;2920;808;3381429
28;10;2023;BHR;BOG;192;2429;10170289
28;10;2023;BRB;BOG;26600;4567;19189774
28;10;2023;BRB;BOG;27000;998;4191194
28;10;2023;BRB;BOG;30000;871;3658524
28;10;2023;BRB;BOG;21000;1794;7537545
28;10;2023;BRB;BOG;280;5325;22480801
28;10;2023;BRB;BOG;105;3960;16319427
28;10;2023;BRB;BOG;431;18254;75218622
28;10;2023;BRB;BOG;959;10246;51062431
28;10;2023;BRB;BOG;36;2741;11094867
28;10;2023;BRB;BOG;723;7674;31622462
28;10;2023;BEL;BOG;60;237;990647
28;10;2023;BEL;BOG;36;243;1016690
28;10;2023;BEL;BOG;380;2582;10811079
28;10;2023;BEL;BOG;99;302;1065649
28;10;2023;BEL;BOG;140;1081;4528209
28;10;2023;BEL;BOG;207;1023;5101006
28;10;2023;BEL;BOG;350;1418;5935087
28;10;2023;BEL;BOG;1;40;164825
28;10;2023;BEL;BOG;45;16456;72185780
28;10;2023;BEL;BOG;1400;7524;31974818
28;10;2023;BEL;BOG;1160;8700;36959225
28;10;2023;BEL;BOG;140;1190;4832388
28;10;2023;BEL;BOG;756;3994;16594747
28;10;2023;BEL;BOG;155;7776;32101941
28;10;2023;BEL;BOG;348;59676;251958244
28;10;2023;BLZ;BOG;1;64;271903
28;10;2023;BLZ;BOG;10;136;572093
28;10;2023;BLZ;BOG;2;110;439097
28;10;2023;BLZ;BOG;10;210;886639
28;10;2023;BLZ;BOG;515;10564;44741022
28;10;2023;BLZ;BOG;16;642;2798735
28;10;2023;BLZ;BOG;247;10482;54410590
28;10;2023;BLZ;BOG;2;2252;9877223
28;10;2023;BLR;BOG;32458;32523;137487910
28;10;2023;BLR;BOG;72650;25065;103810860
