DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
BLR;BOG;108250;20660;84889335
BLR;BOG;1936;5902;23997919
BLR;BOG;10000;3654;15046112
BLR;BOG;750;142;586774
BLR;BOG;12800;1626;6578982
BLR;BOG;11150;1461;5814366
BLR;BOG;26950;3462;14151484
BLR;BOG;24225;5956;23673648
BLR;BOG;33900;4591;18249241
BLR;BOG;13200;1757;6985227
BLR;BOG;43300;5573;22584559
BLR;BOG;559350;73347;296931698
BLR;BOG;130;179;717488
BLR;BOG;315;462;1852611
BLR;BOG;2;29;115041
BOL;BOG;827;5736;23139783
BOL;BOG;320;1438;5757674
BOL;BOG;640;2032;8138282
BOL;BOG;353;10578;43547183
BOL;BOG;4750;14120;56128271
BOL;BOG;21;139;551899
BOL;BOG;49;134;541439
BOL;BOG;437;1140;4581771
BOL;BOG;51;185;732187
BOL;BOG;1112;2763;10993193
BOL;BOG;269;973;3857551
BOL;BOG;45;492;1947025
BOL;BOG;31;405;1603411
BOL;BOG;19;99;391028
BOL;BOG;325;1365;5457483
BOL;BOG;44;161;650879
BOL;BOG;63;276;1097017
BOL;BOG;10;1233;4986072
BOL;BOG;1200;780;3154718
BOL;BOG;590;153;620428
BOL;BOG;1683;4412;18056956
BOL;BOG;738;1910;7817578
BOL;BOG;586;3133;12819715
BOL;BOG;335;2227;8852088
BOL;BOG;161;305;1227595
BOL;BOG;3350;7601;30263185
BOL;BOG;34;74;295309
BOL;BOG;40;72;285252
BOL;BOG;216;490;1947635
BOL;BOG;819;1539;6163280
BOL;BOG;79;177;715642
BOL;BOG;36;82;329403
BOL;BOG;125;238;949594
BOL;BOG;175;332;1331494
BOL;BOG;195;416;1660999
BOL;BOG;149;2025;8129957
BOL;BOG;111;1064;4287142
BOL;BOG;1402;154796;619426891
BOL;BOG;108;10077;39883319
BOL;BOG;46;5714;23508724
BOL;BOG;536;64282;264472979
BOL;BOG;709;65883;271061480
BOL;BOG;44;4397;18090533
BOL;BOG;720;32706;130987490
BOL;BOG;425;18025;71650600
BOL;BOG;1580;52312;209180223
BOL;BOG;2087;87374;349939114
BOL;BOG;304;5116;20934519
BOL;BOG;22;40;160594
BOL;BOG;46;98;391758
BOL;BOG;12;26;104363
BOL;BOG;187;7885;31806750
BOL;BOG;47;241;962523
BOL;BOG;168;681;2715754
BOL;BOG;1439;3417;13663219
BOL;BOG;247;645;2581767
BOL;BOG;122;317;1266488
BOL;BOG;2407;5418;21645025
BOL;BOG;633;2565;10223810
BOL;BOG;916;1884;7528198
BOL;BOG;93;593;2360676
BOL;BOG;178;1591;6356354
BOL;BOG;416;1869;7474174
BOL;BOG;42;206;820431
BOL;BOG;354;1409;5622087
BOL;BOG;55;5042;20239075
BOL;BOG;4048;10;40051
BOL;BOG;1026;51937;213682481
BOL;BOG;109;11032;45389917
BOL;BOG;54;360;1458820
BOL;BOG;197;852;3466076
BOL;BOG;222;613;2493818
BOL;BOG;307;692;2819587
BOL;BOG;117;303;1227288
BOL;BOG;2340;5183;21171838
BOL;BOG;579;2550;10342876
BOL;BOG;284;522;2131287
BOL;BOG;157;462;1872096
BOL;BOG;453;1634;6647793
BOL;BOG;127;480;1957052
BOL;BOG;58;5228;21141943
BOL;BOG;44;4142;16587677
BOL;BOG;129;21867;86672178
BOL;BOG;110;867;3498266
BOL;BOG;155;1387;5601238
BOL;BOG;102;603;2434910
BOL;BOG;525;4913;19836087
BOL;BOG;8;0;1009
BOL;BOG;1321;8368;34445978
BOL;BOG;56;635;2567662
BOL;BOG;974;4420;17571249
BOL;BOG;522;3445;13932690
BOL;BOG;35;648;2614081
BOL;BOG;1937;33126;134091155
BOL;BOG;52;676;2675453
BOL;BOG;204;3228;13000123
BOL;BOG;173;2430;9890254
BOL;BOG;1455;18509;73597117
BOL;BOG;285;7481;30090848
BOL;BOG;152;2657;10718957
BOL;BOG;24;1100;4528661
BOL;BOG;2;12;48534
BOL;BOG;4088;35495;143449012
BOL;BOG;192;7484;30175578
BOL;BOG;342;8788;35258766
BOL;BOG;6;167;676857
BOL;BOG;1592;14900;60202968
BOL;BOG;40;137;552156
BOL;BOG;21;100;402314
BOL;BOG;1655;15879;64260198
BOL;BOG;40;1817;7292178
BOL;BOG;1;20;80976
BOL;BOG;204;3098;12622356
BOL;BOG;163;333;1357765
BOL;BOG;353;6395;25930686
BOL;BOG;186;777;3145060
BOL;BOG;57;565;2301175
BOL;BOG;38;937;3771760
BOL;BOG;9;122;486958
BOL;BOG;15;485;1964113
BOL;BOG;139;12361;49938335
BOL;BOG;29;717;2862099
BOL;BOG;30;965;3927125
BOL;BOG;165;104;426307
BOL;BOG;189;2277;9120122
BOL;BOG;6;104;416406
BOL;BOG;846;123085;487854309
BOL;BOG;19;1284;5090096
BOL;BOG;37;2597;10293589
BOL;BOG;0;23;89378
BOL;BOG;91;6326;25074852
BOL;BOG;8;525;2082380
BOL;BOG;835;695872;2790744524
BOL;BOG;30000;6201;25526975
BOL;BOG;115;2406;9599675
BOL;BOG;202;7272;29014480
BOL;BUN;6103;42828;173886277
BOL;BUN;175;7703;31277325
BOL;BUN;107;3189;12949239
BOL;BUN;14;361;1467460
